Date,Code,Price
2020/8/3,6971,1508.5
2020/8/11,6971,1589.5
2020/8/17,6971,1536.5
2020/8/24,6971,1519.25
2020/8/31,6971,1528.75
2020/9/7,6971,1560.5
2020/9/14,6971,1532.25
2020/9/23,6971,1513
2020/9/28,6971,1470.25
2020/10/5,6971,1509.5
2020/10/12,6971,1513
2020/10/19,6971,1522.75
2020/10/26,6971,1432.75
2020/11/2,6971,1452.5
2020/11/9,6971,1499.5
2020/11/16,6971,1491
2020/11/24,6971,1520
2020/11/30,6971,1571.25
2020/12/7,6971,1538.25
2020/12/14,6971,1586.25
2020/12/21,6971,1547.5
2020/12/28,6971,1581.5
2021/1/4,6971,1642.5
2021/1/12,6971,1690.75
2021/1/18,6971,1716
2021/1/25,6971,1674.75
2021/2/1,6971,1689
2021/2/8,6971,1744.25
2021/2/15,6971,1728.5
2021/2/22,6971,1714.5
2021/3/1,6971,1803.25
2021/3/8,6971,1860.5
2021/3/15,6971,1882.75
2021/3/22,6971,1829.5
2021/3/29,6971,1781.5
2021/4/5,6971,1802.5
2021/4/12,6971,1790.25
2021/4/19,6971,1771.25
2021/4/26,6971,1659.25
2021/5/6,6971,1689.5
2021/5/10,6971,1665.75
2021/5/17,6971,1667.75
2021/5/24,6971,1695.75
2021/5/31,6971,1698.5
2021/6/7,6971,1739.25
2021/6/14,6971,1724.25
2021/6/21,6971,1727.75
2021/6/28,6971,1718.5
2021/7/5,6971,1659.5
2021/7/12,6971,1697.25
2021/7/19,6971,1670.5
2021/7/26,6971,1684.25
2021/8/2,6971,1680.25
2021/8/10,6971,1703.25
2021/8/16,6971,1660.5
2021/8/23,6971,1672.5
2021/8/30,6971,1810.5
2021/9/6,6971,1829.25
2021/9/13,6971,1798.5
2021/9/21,6971,1765.25
2021/9/27,6971,1721.5
2021/10/4,6971,1656.75
2021/10/11,6971,1691
2021/10/18,6971,1675.5
2021/10/25,6971,1663.75
2021/11/1,6971,1788.25
2021/11/8,6971,1728.5
2021/11/15,6971,1783
2021/11/22,6971,1743.25
2021/11/29,6971,1717.75
2021/12/6,6971,1772
2021/12/13,6971,1823.5
2021/12/20,6971,1808
2021/12/27,6971,1796.75
2022/1/4,6971,1794
2022/1/11,6971,1785.75
2022/1/17,6971,1695
2022/1/24,6971,1725.5
2022/1/31,6971,1711.75
2022/2/7,6971,1731.5
2022/2/14,6971,1714.25
2022/2/21,6971,1647.5
2022/2/28,6971,1605.75
2022/3/7,6971,1561.25
2022/3/14,6971,1649.25
2022/3/22,6971,1756.5
2022/3/28,6971,1719.25
2022/4/4,6971,1658.75
2022/4/11,6971,1677.5
2022/4/18,6971,1714.25
2022/4/25,6971,1715.75
2022/5/2,6971,1727
2022/5/9,6971,1744.5
2022/5/16,6971,1769.25
2022/5/23,6971,1815.75
2022/5/30,6971,1878.75
2022/6/6,6971,1871.75
2022/6/13,6971,1794.25
2022/6/20,6971,1821
2022/6/27,6971,1755.5
2022/7/4,6971,1732.25
2022/7/11,6971,1775.25
2022/7/19,6971,1879
2022/7/25,6971,1842
2022/8/1,6971,1871
2022/8/8,6971,1904.25
