Date,Ticker,Price
2010/7/1,AAPL,7.767595
2010/7/1,AMZN,5.8945
2010/7/1,Dow30,10465.94
2010/7/1,MSFT,19.68466
2010/7/1,NASDAQ,2254.699951
2010/7/1,NVDA,2.107502
2010/7/1,TSLA,1.329333
2010/8/1,AAPL,7.340342
2010/8/1,AMZN,6.2415
2010/8/1,Dow30,10014.72
2010/8/1,MSFT,17.899998
2010/8/1,NASDAQ,2114.030029
2010/8/1,NVDA,2.139607
2010/8/1,TSLA,1.298667
2010/9/1,AAPL,8.567756
2010/9/1,AMZN,7.853
2010/9/1,Dow30,10788.05
2010/9/1,MSFT,18.777563
2010/9/1,NASDAQ,2368.620117
2010/9/1,NVDA,2.678523
2010/9/1,TSLA,1.360667
2010/10/1,AAPL,9.088013
2010/10/1,AMZN,8.2615
2010/10/1,Dow30,11118.49
2010/10/1,MSFT,20.449064
2010/10/1,NASDAQ,2507.409912
2010/10/1,NVDA,2.756493
2010/10/1,TSLA,1.456
2010/11/1,AAPL,9.395091
2010/11/1,AMZN,8.77
2010/11/1,Dow30,11006.02
2010/11/1,MSFT,19.367952
2010/11/1,NASDAQ,2498.22998
2010/11/1,NVDA,3.121121
2010/11/1,TSLA,2.355333
2010/12/1,AAPL,9.739616
2010/12/1,AMZN,9
2010/12/1,Dow30,11577.51
2010/12/1,MSFT,21.531303
2010/12/1,NASDAQ,2652.870117
2010/12/1,NVDA,3.531614
2010/12/1,TSLA,1.775333
2011/1/1,AAPL,10.245679
2011/1/1,AMZN,8.482
2011/1/1,Dow30,11891.93
2011/1/1,MSFT,21.39245
2011/1/1,NASDAQ,2700.080078
2011/1/1,NVDA,5.485466
2011/1/1,TSLA,1.606667
2011/2/1,AAPL,10.245679
2011/2/1,AMZN,8.6645
2011/2/1,Dow30,12226.34
2011/2/1,MSFT,20.505274
2011/2/1,NASDAQ,2782.27002
2011/2/1,NVDA,5.196517
2011/2/1,TSLA,1.592667
2011/3/1,AAPL,10.52317
2011/3/1,AMZN,9.0065
2011/3/1,Dow30,12319.73
2011/3/1,MSFT,19.703022
2011/3/1,NASDAQ,2781.070068
2011/3/1,NVDA,4.23335
2011/3/1,TSLA,1.85
2011/4/1,AAPL,10.572085
2011/4/1,AMZN,9.7905
2011/4/1,Dow30,12810.54
2011/4/1,MSFT,20.114311
2011/4/1,NASDAQ,2873.540039
2011/4/1,NVDA,4.58651
2011/4/1,TSLA,1.84
2011/5/1,AAPL,10.502635
2011/5/1,AMZN,9.8345
2011/5/1,Dow30,12569.79
2011/5/1,MSFT,19.408138
2011/5/1,NASDAQ,2835.300049
2011/5/1,NVDA,4.595683
2011/5/1,TSLA,2.009333
2011/6/1,AAPL,10.135469
2011/6/1,AMZN,10.2245
2011/6/1,Dow30,12414.34
2011/6/1,MSFT,20.30864
2011/6/1,NASDAQ,2773.52002
2011/6/1,NVDA,3.655449
2011/6/1,TSLA,1.942
2011/7/1,AAPL,11.790442
2011/7/1,AMZN,11.126
2011/7/1,Dow30,12143.24
2011/7/1,MSFT,21.402176
2011/7/1,NASDAQ,2756.379883
2011/7/1,NVDA,3.171572
2011/7/1,TSLA,1.878
2011/8/1,AAPL,11.619843
2011/8/1,AMZN,10.7615
2011/8/1,Dow30,11613.53
2011/8/1,MSFT,20.7773
2011/8/1,NASDAQ,2579.459961
2011/8/1,NVDA,3.052323
2011/8/1,TSLA,1.649333
2011/9/1,AAPL,11.51386
2011/9/1,AMZN,10.8115
2011/9/1,Dow30,10913.38
2011/9/1,MSFT,19.564325
2011/9/1,NASDAQ,2415.399902
2011/9/1,NVDA,2.868863
2011/9/1,TSLA,1.626
2011/10/1,AAPL,12.222227
2011/10/1,AMZN,10.6755
2011/10/1,Dow30,11955.01
2011/10/1,MSFT,20.932016
